"year","growth_AU","growth_CN","growth_EU","growth_UK","growth_US"
"1992",7.53951553264605,NA,NA,14.1751188523678,4.46426315149493
"1993",35.0802175617885,NA,NA,20.0913367995786,7.05515632759508
"1994",-12.1215018036018,NA,NA,-10.323540607216,-1.53929098837717
"1995",16.0170062536835,NA,NA,20.3490474310881,34.1106555516739
"1996",9.87981607880744,NA,NA,11.6336417558754,20.2636660689456
"1997",8.42975964479333,NA,NA,24.6934563554691,31.0081818317924
"1998",5.85028440185706,NA,NA,14.5477577256354,26.6685890653422
"1999",14.7225433681155,NA,NA,17.8084533972685,19.5260467044581
"2000",2.83863108672844,NA,NA,-10.2118290249478,-10.1391846860644
"2001",6.74006928147444,NA,NA,-16.1526733306548,-13.0426931573316
"2002",-12.1321901953431,NA,NA,-24.4757930000819,-23.3659639816932
"2003",9.73362846134285,NA,NA,13.6153693366934,26.3803999856075
"2004",22.7528952618668,NA,NA,7.53646296289241,8.99345241050435
"2005",17.5973877142783,-7.69108474738963,NA,16.7106335829868,3.00102264832263
"2006",19.0305248068589,120.910998768909,NA,11.073542688713,13.6194317577183
"2007",11.8150216860742,161.498185935987,NA,3.7798414036212,5.59542989905091
"2008",-41.2867888026315,-65.9467522314697,NA,-32.1789704725315,-41.7224224332877
"2009",30.8492070462859,96.7097139979213,NA,22.8834125339164,27.7612272377804
"2010",-2.5746294188984,-12.4998383865668,NA,9.29991309794394,12.7827138434088
"2011",-14.5115078121587,-25.031887377595,NA,-5.55263822169171,0.619417234430153
"2012",14.6033596531258,7.56926860470732,NA,5.84139424278511,12.7411214464485
"2013",15.1258377070338,-7.65026070788025,11.708204035601,14.1323888154592,29.0706951982928
"2014",1.09860997081026,51.6296809454871,4.69925689984194,-2.73795270362347,13.4337999769679
"2015",-2.12715021253002,5.51478683611291,5.1840662787777,-4.16831987169711,-1.32997073560064
"2016",6.98464679931554,-11.3279009079691,-0.364307951172804,13.8458056682411,10.086894842221
"2017",7.04755386252136,21.8778604642667,7.10088876410448,7.63006124879066,18.1419968542248
"2018",-6.90343422589297,-25.2911618439249,-13.0351334160019,-12.4834117867615,-1.78847009886216
"2019",18.3780853997331,36.1452055538174,22.5777527757706,12.1029680316746,22.4427861381604
"2020",-1.45120507738987,27.2005473607748,-5.44016190926334,-14.3442394470905,14.8812796943301
"2021",12.8341742105403,-5.75991423502504,17.8093691616932,11.7173593375128,NA
"1984",NA,NA,NA,23.528817142857,1.40060152673374
"1985",NA,NA,NA,14.6404830525756,26.3334086841244
"1986",NA,NA,NA,18.8588438713098,14.6204085319029
"1987",NA,NA,NA,2.07861965455631,2.0275030105092
"1988",NA,NA,NA,4.62103686860103,12.4008413274987
"1989",NA,NA,NA,35.1123742918394,27.2504654787179
"1990",NA,NA,NA,-11.5243305670088,-6.55913791554852
"1991",NA,NA,NA,16.3097783065081,26.3067030273554
"1970",NA,NA,NA,NA,-0.913976344086076
"1971",NA,NA,NA,NA,10.7867539709874
"1972",NA,NA,NA,NA,15.6332722356067
"1973",NA,NA,NA,NA,-17.36552264213
"1974",NA,NA,NA,NA,-29.718097497137
"1975",NA,NA,NA,NA,31.5490149226668
"1976",NA,NA,NA,NA,19.1484606020965
"1977",NA,NA,NA,NA,-11.5019552531356
"1978",NA,NA,NA,NA,1.06204313484841
"1979",NA,NA,NA,NA,12.3088137310496
"1980",NA,NA,NA,NA,25.7735709510178
"1981",NA,NA,NA,NA,-9.73040106549796
"1982",NA,NA,NA,NA,14.7613182840966
"1983",NA,NA,NA,NA,17.271042500505
