Date,Open,High,Low,Close,Adj Close,Volume
2013-03-05,1177.560059,1199.969971,1177.300049,1198.219971,1198.219971,0
2013-03-06,1195.420044,1203.119995,1194.540039,1195.560059,1195.560059,0
2013-03-07,1193.869995,1200.000000,1193.569946,1194.020020,1194.020020,0
2013-03-08,1193.459961,1207.390015,1193.180054,1204.170044,1204.170044,0
2013-03-11,1203.290039,1204.500000,1198.869995,1203.829956,1203.829956,0
2013-03-12,1204.250000,1206.650024,1201.699951,1204.229980,1204.229980,0
2013-03-13,1200.729980,1205.140015,1198.119995,1203.420044,1203.420044,0
2013-03-14,1203.510010,1217.699951,1203.280029,1216.790039,1216.790039,0
2013-03-15,1218.109985,1218.540039,1208.280029,1212.609985,1212.609985,0
2013-03-18,1217.349976,1217.400024,1196.920044,1208.670044,1208.670044,0
2013-03-19,1209.439941,1210.510010,1201.290039,1205.290039,1205.290039,0
2013-03-20,1201.000000,1211.430054,1201.000000,1208.290039,1208.290039,0
2013-03-21,1208.560059,1209.160034,1195.459961,1200.060059,1200.060059,0
2013-03-22,1200.989990,1203.829956,1195.430054,1198.680054,1198.680054,0
2013-03-25,1198.199951,1210.589966,1192.239990,1195.719971,1195.719971,0
2013-03-26,1194.089966,1199.369995,1192.209961,1197.030029,1197.030029,0
2013-03-27,1198.089966,1202.260010,1184.709961,1192.310059,1192.310059,0
2013-03-28,1190.770020,1202.050049,1190.770020,1197.219971,1197.219971,0
2013-04-01,null,null,null,null,null,null
2013-04-02,1193.540039,1213.569946,1193.540039,1212.099976,1212.099976,0
2013-04-03,1215.550049,1215.550049,1200.380005,1200.959961,1200.959961,0
2013-04-04,1202.920044,1203.939941,1187.670044,1189.219971,1189.219971,0
2013-04-05,1184.380005,1189.030029,1163.040039,1170.119995,1170.119995,0
2013-04-08,1173.500000,1179.369995,1171.060059,1172.750000,1172.750000,0
2013-04-09,1170.729980,1180.800049,1170.729980,1174.089966,1174.089966,0
2013-04-10,1174.910034,1197.310059,1174.619995,1195.920044,1195.920044,0
2013-04-11,1196.010010,1204.180054,1193.849976,1202.510010,1202.510010,0
