"AU","CN","EU","UK","US"
1,0.600285558680498,0.882441155150755,0.801408361120595,0.671414729437723
0.600285558680498,1,0.320971704037715,0.392428347697956,0.455497695419094
0.882441155150755,0.320971704037715,1,0.748862249157888,0.671516996336851
0.801408361120595,0.392428347697956,0.748862249157888,1,0.804547165650267
0.671414729437723,0.455497695419094,0.671516996336851,0.804547165650267,1
